date,open,close,high,low,volume
2024-01-02,57.28,55.82,58.32,55.01,44240.53
2024-01-03,54.91,52.94,56.66,52.25,45747.08
2024-01-04,52.52,54.5,55.46,50.37,41803.16
2024-01-05,53.78,51.29,54.88,51.13,28401.72
2024-01-08,51.51,49.87,52.45,49.81,21879.35
2024-01-09,49.65,48.81,51.34,48.17,25539.11
2024-01-10,48.04,48.08,48.98,47.12,20448.56
2024-01-11,47.98,49.74,49.84,47.74,23698.25
2024-01-12,49.26,48.73,51.47,48.58,23880.86
2024-01-15,48.56,47.51,49.25,47.43,18636.65
2024-01-16,47.27,47.51,47.55,46.43,14957.77
2024-01-17,47.19,44.65,47.19,44.51,21022.82
2024-01-18,44.79,44.19,45.15,42.71,15828.28
2024-01-19,44.12,42.57,44.54,41.94,18452.7
2024-01-22,42.69,39.43,43.09,38.93,21309.81
2024-01-23,40.06,40.59,42.48,39.7,20836.14
2024-01-24,40.95,40.04,41.17,39.12,18988.49
2024-01-25,40.07,42.06,42.21,39.7,20627.11
2024-01-26,42.15,41.41,42.66,41.29,14720.38
2024-01-29,42.71,40.95,44.92,40.44,38007.81
2024-01-30,39.47,38.34,39.95,38.28,26475.83
2024-01-31,38.14,35.89,39.22,35.58,18583.68
2024-02-01,35.69,36.31,36.89,35.69,13395.63
2024-02-02,36.31,33.42,36.45,31.16,19937.97
2024-02-05,32.78,29.12,33.08,28.98,19658.78
2024-02-06,29.12,31.21,31.96,29.12,22617.83
2024-02-07,31.18,28.29,31.27,27.92,35867.7
2024-02-08,28.38,31.26,31.95,27.73,33710.86
2024-02-19,31.25,33.71,35.54,30.96,38893.57
2024-02-20,34.32,34.55,35.46,33.86,27743.16
2024-02-21,33.63,35.38,36.58,33.55,27033.28
2024-02-22,35.03,35.99,36.07,34.68,18016.44
2024-02-23,35.92,37.47,37.6,35.46,18980.33
2024-02-26,38.89,39.79,40.42,38.1,36338.65
2024-02-27,38.9,42.93,43.09,38.89,36321.17
2024-02-28,42.03,38.27,42.82,38.27,33113.73
2024-02-29,38.13,43.8,43.85,37.92,32773.01
2024-03-01,43.73,42.7,44.15,41.56,23303.17
2024-03-04,42.71,44.51,45.15,40.19,28584.05
2024-03-05,43.14,42.66,43.89,42.42,17190.2
2024-03-06,42.0,44.14,44.89,41.83,19381.68
2024-03-07,43.9,43.63,46.74,43.33,24638.79
2024-03-08,42.63,45.59,45.66,42.63,20128.33
2024-03-11,47.41,48.81,52.89,47.36,37378.62
2024-03-12,48.16,52.59,54.13,48.16,38177.04
2024-03-13,51.32,51.25,52.53,50.07,27170.0
2024-03-14,52.83,51.8,56.09,51.09,20700.44
2024-03-15,51.24,51.55,52.18,49.82,19405.6
2024-03-18,52.24,50.84,52.81,49.57,18570.38
2024-03-19,50.83,49.46,51.09,49.22,13193.87
2024-03-20,49.34,48.43,49.42,47.49,15769.38
2024-03-21,48.05,48.46,49.01,47.21,11817.23
2024-03-22,48.43,47.59,48.46,47.03,10357.69
2024-03-25,47.6,44.92,48.04,44.73,15271.78
2024-03-26,44.44,43.2,45.36,42.6,15708.69
2024-03-27,43.01,40.57,43.76,40.34,15195.38
2024-03-28,40.55,42.31,44.01,39.78,20940.0
2024-03-29,41.94,44.22,44.52,41.48,18289.0
2024-04-01,44.08,43.65,44.86,43.0,10669.79
2024-04-02,43.74,42.72,43.74,42.03,8189.77
2024-04-03,42.76,41.52,42.76,41.06,6453.31
2024-04-08,41.32,42.1,43.14,41.32,11595.01
2024-04-09,42.55,41.66,42.55,41.04,6966.28
2024-04-10,41.46,40.14,41.72,39.7,7438.96
2024-04-11,42.93,42.49,47.27,41.79,26245.75
2024-04-12,42.23,39.66,43.77,39.66,17562.31
2024-04-15,39.2,37.57,41.03,36.99,18426.41
2024-04-16,37.38,34.77,37.44,33.59,15840.06
2024-04-17,35.35,37.31,37.44,35.35,14841.0
2024-04-18,37.37,38.92,40.33,36.61,16954.34
2024-04-19,39.64,39.64,41.54,38.72,19043.38
2024-04-22,38.89,40.03,40.87,37.89,15001.72
2024-04-23,39.75,44.89,46.04,39.75,28679.21
2024-04-24,42.71,45.45,46.26,42.71,24881.87
2024-04-25,44.73,44.24,45.45,43.85,13828.65
2024-04-26,44.31,45.41,46.55,44.31,16721.0
2024-04-29,47.19,45.45,48.04,45.27,15315.68
2024-04-30,45.45,44.12,45.91,43.85,11174.88
2024-05-06,45.4,48.88,51.93,45.4,22754.92
2024-05-07,48.39,48.66,49.18,47.22,15020.0
2024-05-08,48.81,46.33,48.81,45.99,10544.38
2024-05-09,46.69,47.66,48.04,46.14,12540.69
2024-05-10,47.55,46.58,47.74,45.79,8678.98
2024-05-13,46.26,45.05,46.26,44.9,6410.41
2024-05-14,47.11,45.63,48.04,45.25,7248.69
2024-05-15,45.03,45.94,48.01,45.01,8361.81
2024-05-16,45.5,45.24,47.51,44.92,7171.76
2024-05-17,44.99,46.73,46.82,44.99,8172.07
2024-05-20,46.44,47.53,47.72,45.85,8963.0
2024-05-21,46.98,47.04,47.88,46.69,7807.68
2024-05-22,46.52,48.91,49.49,46.52,17601.83
2024-05-23,48.21,48.31,49.95,48.21,13584.29
2024-05-24,48.04,44.51,48.04,44.47,13541.95
